Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61550,The Logic of Scientific Discovery,Karl Popper,"Popper, Karl",,"=""0415278449""","=""9780415278447""",0,4.03,Routledge,Paperback,544,2002,1934,,2024/03/26,to-read,to-read (#34),to-read,,,,0,0
59430437,A Equação Divina,Michio Kaku,"Kaku, Michio",,"=""9722541064""","=""9789722541060""",0,4.11,Bertrand Editora,Paperback,200,2021,2021,,2024/03/25,to-read,to-read (#33),to-read,,,,0,0
35167685,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",,"=""0393355624""","=""9780393355628""",0,4.27,W. W. Norton & Company,Paperback,400,2018,1985,,2024/03/25,to-read,to-read (#32),to-read,,,,0,0
52756428,The Socrates Express: In Search of Life Lessons from Dead Philosophers,Eric    Weiner,"Weiner, Eric",,"=""1501129015""","=""9781501129018""",0,4.14,Avid Reader Press / Simon  Schuster,Hardcover,352,2020,2020,,2024/03/24,to-read,to-read (#31),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.35,Vintage,Paperback,512,2015,2011,2024/03/24,2024/03/01,,,read,,,,1,0
52905,"Friday, or, The Other Island",Michel Tournier,"Tournier, Michel",,"=""0801855926""","=""9780801855924""",0,3.67,Johns Hopkins University Press,Paperback,240,1997,1967,,2024/03/23,,,read,,,,1,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.38,Scribner,Hardcover,368,2017,2017,,2024/03/23,to-read,to-read (#30),to-read,,,,0,0
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,"=""039334777X""","=""9780393347777""",0,3.95,W. W. Norton & Company,Paperback,304,2014,2012,,2024/03/20,to-read,to-read (#29),to-read,,,,0,0
31886,Introduction to Mathematical Philosophy,Bertrand Russell,"Russell, Bertrand",,"=""0486277240""","=""9780486277240""",0,4.04,Dover Publications,Paperback,224,1993,1918,,2024/03/20,to-read,to-read (#28),to-read,,,,0,0
857450,The Pleasures of Probability (Undergraduate Texts in Mathematics),Richard Isaac,"Isaac, Richard",,"=""038794415X""","=""9780387944159""",0,4.24,Springer,Hardcover,259,1995,1995,,2024/03/20,to-read,to-read (#27),to-read,,,,0,0
